generation,top_elo,mean_elo,top_winrate,best_MulliganKeep,best_FaceBias,best_CounterLifeFloor,best_CounterCharCost,best_BlockBias,best_TurnOrderFirst
1,1536,1500,0.688,3.382,0.654,4.982,2.479,0.067,0.714
2,1541,1482,0.609,2.335,0.863,3.619,1.511,0.628,0.337
3,1546,1482,0.578,2.984,0.727,1.299,5.441,0.490,0.672
4,1554,1482,0.574,1.000,0.500,3.000,5.000,0.500,1.000
5,1560,1482,0.569,1.000,0.500,3.000,5.000,0.500,1.000
6,1574,1482,0.578,1.000,0.500,3.000,5.000,0.500,1.000
7,1561,1482,0.563,1.000,0.500,3.000,5.000,0.500,1.000
8,1577,1483,0.566,1.000,0.500,3.000,5.000,0.500,1.000
9,1573,1484,0.557,1.000,0.500,3.000,5.000,0.500,1.000
10,1567,1483,0.550,1.000,0.500,3.000,5.000,0.500,1.000
11,1574,1484,0.528,3.739,0.702,4.557,5.776,0.826,0.674
12,1587,1483,0.534,3.739,0.702,4.557,5.776,0.826,0.674
13,1601,1483,0.542,3.739,0.702,4.557,5.776,0.826,0.674
14,1605,1484,0.546,3.739,0.702,4.557,5.776,0.826,0.674
15,1593,1484,0.543,3.739,0.702,4.557,5.776,0.826,0.674
16,1598,1484,0.544,3.739,0.702,4.557,5.776,0.826,0.674
17,1592,1484,0.542,3.739,0.702,4.557,5.776,0.826,0.674
18,1590,1484,0.542,3.739,0.702,4.557,5.776,0.826,0.674
19,1596,1483,0.545,4.000,0.812,5.000,4.956,0.945,0.746
20,1586,1483,0.523,4.000,0.812,5.000,4.956,1.000,0.746
21,1587,1483,0.523,4.000,0.812,5.000,4.956,1.000,0.746
22,1590,1484,0.536,4.000,0.812,5.000,4.956,0.945,0.746
23,1609,1486,0.541,4.000,0.812,5.000,4.956,0.945,0.746
24,1603,1485,0.540,4.000,0.812,5.000,4.956,0.945,0.746
25,1596,1486,0.538,4.000,0.812,5.000,4.956,0.945,0.746
26,1592,1486,0.535,4.000,0.812,5.000,4.956,0.945,0.746
27,1620,1486,0.529,4.000,0.812,5.000,4.956,1.000,0.746
28,1594,1486,0.524,4.000,0.812,5.000,4.956,1.000,0.746
29,1596,1486,0.524,4.000,0.812,5.000,4.956,1.000,0.746
30,1608,1486,0.526,4.000,0.812,5.000,4.956,1.000,0.746
31,1606,1486,0.526,4.000,0.812,5.000,4.956,1.000,0.746
32,1618,1486,0.528,4.000,0.812,5.000,4.956,1.000,0.746
33,1600,1487,0.534,3.133,0.812,5.000,4.956,0.945,1.000
34,1609,1486,0.534,3.133,0.812,5.000,4.956,0.945,1.000
35,1600,1486,0.523,4.000,0.812,5.000,4.956,1.000,0.746
36,1611,1485,0.533,3.133,0.812,5.000,4.956,0.945,1.000
37,1606,1485,0.532,3.133,0.812,5.000,4.956,0.945,1.000
38,1612,1486,0.523,3.133,0.812,5.000,4.845,0.500,1.000
39,1604,1486,0.529,3.133,0.812,5.000,4.956,0.945,1.000
40,1619,1488,0.531,3.133,0.812,5.000,4.956,0.945,1.000
41,1635,1487,0.536,3.133,0.812,5.000,4.956,0.945,1.000
42,1617,1487,0.533,3.133,0.812,5.000,4.956,0.945,1.000
43,1630,1487,0.535,3.133,0.812,5.000,4.956,0.945,1.000
44,1632,1488,0.536,3.133,0.812,5.000,4.956,0.945,1.000
45,1631,1487,0.537,3.133,0.812,5.000,4.956,0.945,1.000
46,1622,1486,0.556,4.000,0.839,5.000,4.956,1.000,0.746
47,1634,1487,0.559,4.000,0.839,5.000,4.956,1.000,0.746
48,1630,1488,0.557,4.000,0.839,5.000,4.956,1.000,0.746
49,1631,1488,0.556,4.000,0.839,5.000,4.956,1.000,0.746
50,1628,1488,0.515,3.133,0.812,5.000,4.845,0.500,1.000
51,1626,1488,0.548,4.000,0.839,5.000,4.956,1.000,0.746
52,1632,1487,0.549,4.000,0.839,5.000,4.956,1.000,0.746
53,1624,1487,0.546,4.000,0.839,5.000,4.956,1.000,0.746
54,1628,1488,0.546,4.000,0.839,5.000,4.956,1.000,0.746
55,1639,1488,0.548,4.000,0.839,5.000,4.956,1.000,0.746
56,1625,1488,0.545,4.000,0.839,5.000,4.956,1.000,0.746
57,1620,1489,0.507,3.133,0.812,5.000,4.845,0.500,1.000
58,1633,1488,0.545,4.000,0.839,5.000,4.956,1.000,0.746
